"name","category","component_url","copied_link","thumbnail_url","thumbnail_file","status"
"3D Service carousel · Free Carousels Component","Categories","https://www.framer.com/community/marketplace/components/3d-service-carousel/","https://framer.com/m/Service-section-a2j24v.js@aAfooHiaMhCLAPzZAS79","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/eY3BGutoQMegaANImd6i/3d-service-carousel-H1gVyeAIjc26NDa6lzSHuubHMLEOiI","output/thumbnails/3d-service-carousel.png","Copied component [paste]"
"3D Space · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/3d-space/","https://framer.com/m/Three-dee-space-framer-OPcb.js@qMlRkZNcACeZCBdTXM0W","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/pAXjE09suKH25JzXhcWy/3d-space-9z4HXpdhoGcWBQCzqsoB88oxytm4lp","output/thumbnails/3d-space.png","Copied component [paste]"
"3D Text Pop Effect · Customizable Text Offset on Hover","Categories","https://www.framer.com/community/marketplace/components/3d-text-pop-effect/","https://framer.com/m/Text-Pop-M9yj.js@GJrB0dNvbyNrfOEnMR9P","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/McosXC6GLgkU2jZ5Ot32/3d-text-pop-effect-la0a66muDQKqgt7TJmlZMX5MVeFacO","output/thumbnails/3d-text-pop-effect.png","Copied component [paste]"
"3D Tilt Button · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3d-tilt-button/","https://framer.com/m/TiltButton3D-YcNJla.js@1RkxabrCiY8XdzTsPN67","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/cv9Yl0gnFAUffyNqlf6K/3d-tilt-button-3Y4o9VlsgiqywTls3EVo7xggmhhA8E","output/thumbnails/3d-tilt-button.png","Copied component [paste]"
"3D Tilt on Flip card · Hover to Tilt it, Tap to Flip it!","Categories","https://www.framer.com/community/marketplace/components/3d-tilt-on-flip-card/","https://framer.com/m/Tilt-Flip-card-oapvPI.js@BcF18UQ6eUS86GiIzuOc","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/Kz7ANJ44cLV1v6PRBnGf/3d-tilt-on-flip-card-COgGKiFtxRtvJoXMRABCqm57Vi2Ogy","output/thumbnails/3d-tilt-on-flip-card.png","Copied component [paste]"
"3dButton · Free Buttons Component","Categories","https://www.framer.com/community/marketplace/components/3dbutton/","https://framer.com/m/3dButton-kZEW.js@bL61rzbjKbVc8GuacQm8","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/rsyJ1AaqIp65o0NP8avv/3dbutton-U2dvfCaTHIR84u5Atuxn4Rs2Ibv4Oo","output/thumbnails/3dbutton.png","Copied component [paste]"
"3DCubeGallery · Interactive 3D image gallery cube","Categories","https://www.framer.com/community/marketplace/components/3dcubegallery/","https://framer.com/m/Cube-Gallery-hIrS05.js@SXF4UV0CSFH4sdOiNBe4","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/4sA4dNNVQBmIl8ciScFH/3dcubegallery-XqJ439pVnGWM0dcybWL6cKpYmmgqhh","output/thumbnails/3dcubegallery.png","Copied component [paste]"
"404 Dinosaur Game · Dino 404 — Interactive Game Page","Categories","https://www.framer.com/community/marketplace/components/404-dinosaur-game/","https://framer.com/m/Dino404Game-rwzdBF.js@N4HA825hP1wOigvjNWWg","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/2kuZo551lfSypYqDgxEH/404-dinosaur-game-IQYFxNEyM2kW0fQlkokzVbW90yExGw","output/thumbnails/404-dinosaur-game.png","Copied component [paste]"
"404 Page Error · Free Navigation Component","Categories","https://www.framer.com/community/marketplace/components/404-page-error/","https://framer.com/m/404-Page-Error-SJ21NB.js@QflGUrNd3gN2EcqfSC4F","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/W37ke47HnJZy8qzvzlIY/404-page-error-IkB5UPdFnwcntlDvplc50dBJ0q8VCx","output/thumbnails/404-page-error.png","Copied component [paste]"
"4dot Loader · Free Interactions Component","Categories","https://www.framer.com/community/marketplace/components/4dotloader-2/","https://framer.com/m/4dotLoader-2-DISzYC.js@eHj2e0kHEOViqj03RWKe","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/x5zflCPHGfsQcdtqsVYH/4dotloader-2-wgZjGFVDVn9Ifi0ykOkGZ6RZsz8iCb","output/thumbnails/4dotloader-2.png","Copied component [paste]"
"7 Noise Overlays · Free Backgrounds Component","Categories","https://www.framer.com/community/marketplace/components/7-noise-overlays/","https://framer.com/m/Grain-Overlay-Yhg1.js@F0ohASRCC9KSNnI5PTy7","https://y4pdgnepgswqffpt.public.blob.vercel-storage.com/components/IcDD4nCnCPIBJHcS8cHx/7-noise-overlays-Ba6BKox6Uengl9fWnlekTTd8wpv3o4","output/thumbnails/7-noise-overlays.png","Copied component [paste]"
